president	subgroup	modeldate	startdate	enddate	pollster	grade	samplesize	population	weight	influence	approve	disapprove	adjusted_approve	adjusted_disapprove	multiversions	tracking	url	poll_id	question_id	createddate	timestamp
Donald Trump	All polls	3/28/20	2017/01/30	2017/02/01	Gallup	B	1500	a	0.15722535	0	43	52	43.693169	50.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49232	77244	2017/02/02	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/31	2017/02/02	Gallup	B	1500	a	0.15530715	0	43	52	43.693169	50.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49233	77245	2017/02/03	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/24	2017/01/26	Rasmussen Reports/Pulse Opinion Research	C+	1500	lv	0.17378607	0	55	45	49.267122	46.585978		T	http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history	49234	77246	2017/01/27	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/27	2017/01/29	Gallup	B	1500	a	0.16767088	0	43	50	43.693169	48.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49235	77247	2017/01/30	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/22	2017/01/24	Gallup	B	1500	a	0.20865899	0	46	45	46.693169	43.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49236	77248	2017/01/25	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/23	2017/01/24	Public Policy Polling	B	1043	rv	1.0546733	0	44	44	43.472536	44.27075			http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf	49237	77249	2017/01/25	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/30	2017/01/31	Public Policy Polling	B	725	rv	0.70614094	0	47	49	46.472536	49.27075			http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf	49238	77250	2017/02/01	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/25	2017/01/29	Rasmussen Reports/Pulse Opinion Research	C+	1500	lv	0.09397622	0	53	47	47.267122	48.585978		T	http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history	49239	77251	2017/01/30	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/26	2017/01/30	SurveyMonkey	D-	4444	a	0.19531065	0	48	50	45.392311	49.214074			https://blog.electiontracking.surveymonkey.com/2017/01/31/trump-approval-americans-divided-right-from-the-start/	49240	77252	2017/01/31	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/26	2017/01/28	Morning Consult	B/C	1991	rv	0.57453575	0	49	41	47.7549	42.292944			https://www.politico.com/f/?id=00000159-f6e7-da98-a77d-f6f7cba90001	49241	77253	2017/01/29	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/24	2017/01/26	Gallup	B	1500	a	0.18734653	0	45	48	45.693169	46.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49242	77254	2017/01/27	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/26	2017/01/30	Rasmussen Reports/Pulse Opinion Research	C+	1500	lv	0.2685318	0	51	49	45.267122	50.585978		T	http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history	49243	77255	2017/01/31	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/29	2017/01/31	Gallup	B	1500	a	0.15988557	0	43	52	43.693169	50.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49244	77256	2017/02/01	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/23	2017/01/25	Gallup	B	1500	a	0.19692123	0	46	45	46.693169	43.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49245	77257	2017/01/26	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/01/23	2017/01/25	Rasmussen Reports/Pulse Opinion Research	C+	1500	lv	0.18577234	0	59	41	53.267122	42.585978		T	http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history	49247	77259	2017/01/26	3/28/20 7:15
Donald Trump	All polls	3/28/20	2017/02/01	2017/02/03	Gallup	B	1500	a	0.15361337	0	44	50	44.693169	48.650668		T	http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx	49248	77260	2017/02/04	3/28/20 7:15
