SurrogateId,Period,[Australian dollar ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[EU euro ]
1,2020/02/07,1.496672441,4.291913575,1.331388458,0.975932172,6.993436047,22.81885313,6.812289179,0.772358465,7.764427022,6.796426292,308.277874,13732.5645,3.42647461,71.43996718,125.7179324,109.8641626,1194.074209,18.71465038,4.140030996,9.269122071,1.558391832,50.88522199,3.888503966,4.340687392,63.83471602,9.613911934,1.390737533,31.30002735,5.988513082,1,14.96982405,0.911660133
2,2020/02/06,1.479778242,4.230937017,1.327819686,0.97382532,6.968644915,22.62382986,6.791329637,0.771016995,7.763337272,6.77660638,306.0619831,13633.3818,3.432700173,71.14832318,125.5112242,109.8518586,1183.113696,18.6178315,4.121512315,9.205489412,1.544487867,50.72889212,3.858129601,4.33109152,63.12596565,9.592838317,1.384440607,31.07970553,5.988003272,1,14.81668636,0.908843043
3,2020/02/05,1.47863558,4.228794339,1.328494965,0.972239862,6.97251202,22.72974689,6.779279688,0.766070943,7.763040914,6.764764583,304.5994738,13640.9961,3.445613717,71.15395083,125.2834981,109.7160483,1182.04663,18.59049261,4.117028032,9.17835435,1.542774199,50.76748617,3.854758233,4.330400073,62.62541958,9.566361245,1.379116393,30.96525447,5.985212737,1,14.71886056,0.907194049
4,2020/02/04,1.487961622,4.22737147,1.327932657,0.968682114,6.996560463,22.75796524,6.764029689,0.768283852,7.766564084,6.744931209,304.4170891,13710.00181,3.451303403,71.24547429,124.8189718,109.0876177,1186.413831,18.71125996,4.111513396,9.227733526,1.547972484,50.78023172,3.869750181,4.323225923,63.24447864,9.619659667,1.370293266,30.95039826,5.980539464,1,14.77751629,0.905141202
5,2020/02/03,1.492951383,4.262606181,1.323603832,0.964395446,7.019790349,22.75167179,6.753027291,0.766085306,7.765678655,6.729170432,305.1689861,13742.49955,3.446141334,71.3930056,124.0737394,108.5306344,1192.047714,18.81285017,4.114043015,9.270739201,1.545816013,50.87023315,3.882884511,4.318452919,63.79793963,9.651906741,1.367973974,31.0401229,5.984185794,1,14.8930056,0.903668896
6,2020/01/31,1.492399566,4.266829533,1.323470865,0.967607673,6.936663047,22.81035107,6.761762577,0.761626855,7.767191459,6.735432501,304.9674267,13655.00362,3.446435034,71.39477018,123.3260948,108.8943178,1195.801665,18.82410423,4.098534202,9.2194173,1.545693087,51.01520087,3.891512848,4.324013753,63.64232718,9.660513934,1.365544698,31.17987695,5.982356135,1,14.9203764,0.904813608
7,2020/01/30,1.488076888,4.246622541,1.321697343,0.969262852,6.936621634,22.89418805,6.775682292,0.763287696,7.768428688,6.747937256,306.7911869,13686.49923,3.452715568,71.63931453,123.2206002,108.831263,1192.31118,18.76734065,4.08804062,9.224589718,1.538942787,50.99827727,3.887297126,4.331308369,63.17154774,9.647112159,1.362770877,31.19503128,5.981503309,1,14.74956932,0.906700517
8,2020/01/29,1.481592582,4.189528225,1.317698391,0.975274975,6.936642123,22.91428052,6.792837015,0.768839196,7.772293428,6.76483956,306.6903009,13627.4975,3.459049177,71.28170166,123.5342242,109.1355331,1178.665576,18.73547859,4.079992728,9.141259885,1.533315153,50.83992364,3.893918735,4.342332515,62.69930006,9.613035179,1.360876284,30.96991183,5.95936733,1,14.60949005,0.909008272
9,2020/01/28,1.480236256,4.197728305,1.319036801,0.972557928,6.936665152,22.91776465,6.790368015,0.768768741,7.776283507,6.761472058,306.3880055,13637.50114,3.455974557,71.28986824,124.6706043,109.0595184,1178.736938,18.83834621,4.086506134,9.15565652,1.53057701,50.77510223,3.882871422,4.342026352,62.61081327,9.631349387,1.358382553,30.84507042,5.949568378,1,14.65233985,0.908677874
10,2020/01/27,1.477641723,4.214693878,1.318730159,0.96952381,6.936689342,22.88526077,6.778049887,0.765151927,7.777324263,6.749659864,306.1496599,13604.99773,3.460408163,71.42176871,124.6258503,108.9433107,1177.632653,18.93106576,4.065487528,9.103219955,1.525079365,50.86984127,3.874376417,4.336326531,62.62512472,9.595918367,1.357369615,30.72018141,5.947029478,1,14.55156463,0.907029478
